pcds,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD3 9NL,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9NN,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9NP,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9NQ,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9NR,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9NS,0.592,21.939,1.133,0.396,881,57.669,0.174,71.208,-0.787,1.365,0.215,0.642,52.793,0.264,1.692,1.252,1485,194,2560,2.566,1444.75
BD3 9NT,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9NU,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9NX,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9PA,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9PB,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9PD,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9PE,0.613,18.098,-0.11,0.593,885,63.042,0.156,51.252,-0.818,0.937,0.208,0.633,42.27,0.256,1.15,1.004,1316,181,2382,1.782,1258.25
BD3 9PH,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9PJ,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9PL,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9PN,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9PQ,0.611,20.96,0.771,0.788,702,66.247,0.19,52.54,-1.146,1.112,0.327,0.776,54.574,0.35,1.218,0.925,1292,183,2177,2.602,1235.75
BD3 9PS,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9PY,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9PZ,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QA,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QB,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QD,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QE,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QF,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9QG,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QH,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QJ,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QL,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QN,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9QP,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QQ,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QR,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9QT,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9QU,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QW,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QX,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9QY,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9RA,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9RB,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD3 9RD,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9RE,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9RF,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9RG,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9RH,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9RJ,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9RL,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
BD3 9RN,0.489,16.164,1.219,0.778,317,47.67,0.215,68.531,-0.541,1.53,0.437,0.343,58.727,0.338,1.694,1.016,843,279,1439,1.038,857.75
BD3 9RQ,0.641,22.92,1.509,0.748,595,67.952,0.232,50.472,-0.869,1.723,0.264,0.925,63.905,0.339,1.151,0.94,1175,164,1934,2.833,1131.5
BD3 9RT,0.65,21.269,1.171,0.416,686,62.805,0.189,56.48,-1.084,1.11,0.236,0.65,52.418,0.289,1.277,1.1,1072,147,1905,2.643,1033
