Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD1 2JX,BD1 2JX,SE 15456 33393,415456,433393,53.796618,-1.7668391
BD1 2JY,BD1 2JY,SE 15323 33529,415323,433529,53.797844,-1.7688515
BD1 2LA,BD1 2LA,SE 15366 33490,415366,433490,53.797492,-1.7682006
BD1 2LB,BD1 2LB,SE 15292 33473,415292,433473,53.797342,-1.7693248
BD1 2LD,BD1 2LD,SE 15347 33435,415347,433435,53.796999,-1.7684917
BD1 2LF,BD1 2LF,SE 15495 33491,415495,433491,53.797498,-1.7662421
BD1 2LG,BD1 2LG,SE 15486 33438,415486,433438,53.797022,-1.7663814
BD1 2LH,postcode not found,,,,,
BD1 2LJ,BD1 2LJ,SE 15620 33477,415620,433477,53.797368,-1.7643451
BD1 2LL,BD1 2LL,SE 15655 33465,415655,433465,53.797259,-1.7638144
BD1 2LQ,postcode not found,,,,,
BD1 2LR,postcode not found,,,,,
BD1 2LT,postcode not found,,,,,
BD1 2LU,BD1 2LU,SE 16045 33207,416045,433207,53.794929,-1.757907
BD1 2LW,postcode not found,,,,,
BD1 2LY,BD1 2LY,SE 16031 33155,416031,433155,53.794462,-1.7581222
BD1 2LZ,BD1 2LZ,SE 16017 33169,416017,433169,53.794588,-1.758334
BD1 2NA,postcode not found,,,,,
BD1 2NB,BD1 2NB,SE 15927 33124,415927,433124,53.794186,-1.7597026
BD1 2ND,BD1 2ND,SE 15970 33160,415970,433160,53.794508,-1.759048
BD1 2NE,BD1 2NE,SE 16034 33141,416034,433141,53.794336,-1.7580774
BD1 2NF,BD1 2NF,SE 16016 33146,416016,433146,53.794381,-1.7583504
BD1 2NG,BD1 2NG,SE 15934 33196,415934,433196,53.794833,-1.7595926
BD1 2NH,BD1 2NH,SE 15934 33196,415934,433196,53.794833,-1.7595926
BD1 2NJ,BD1 2NJ,SE 16060 33096,416060,433096,53.79393,-1.757685
BD1 2NL,postcode not found,,,,,
BD1 2NN,postcode not found,,,,,
BD1 2NP,postcode not found,,,,,
BD1 2NQ,postcode not found,,,,,
BD1 2NR,postcode not found,,,,,
BD1 2NS,BD1 2NS,SE 15862 33133,415862,433133,53.794269,-1.7606888
BD1 2NT,BD1 2NT,SE 15857 33125,415857,433125,53.794197,-1.7607651
BD1 2NU,BD1 2NU,SE 15795 33147,415795,433147,53.794397,-1.7617052
BD1 2NW,postcode not found,,,,,
BD1 2PA,postcode not found,,,,,
BD1 2PF,BD1 2PF,SE 15835 33204,415835,433204,53.794908,-1.7610951
BD1 2PG,BD1 2PG,SE 15871 33211,415871,433211,53.79497,-1.7605482
BD1 2PH,BD1 2PH,SE 15829 33200,415829,433200,53.794872,-1.7611863
BD1 2PJ,BD1 2PJ,SE 15895 33174,415895,433174,53.794637,-1.7601858
BD1 2PL,BD1 2PL,SE 15854 33239,415854,433239,53.795222,-1.7608048
BD1 2PN,BD1 2PN,SE 15807 33297,415807,433297,53.795745,-1.7615154
BD1 2PP,BD1 2PP,SE 15879 33243,415879,433243,53.795257,-1.7604251
BD1 2PQ,postcode not found,,,,,
BD1 2PR,postcode not found,,,,,
BD1 2PS,BD1 2PS,SE 15864 33355,415864,433355,53.796264,-1.7606471
BD1 2PU,BD1 2PU,SE 15821 33327,415821,433327,53.796014,-1.7613013
BD1 2PW,BD1 2PW,SE 15954 33236,415954,433236,53.795192,-1.7592869
BD1 2PX,BD1 2PX,SE 15841 33338,415841,433338,53.796112,-1.7609971
BD1 2PY,postcode not found,,,,,
BD1 2PZ,postcode not found,,,,,
BD1 2QB,postcode not found,,,,,
BD1 2QD,postcode not found,,,,,
BD1 2QE,postcode not found,,,,,
BD1 2QF,postcode not found,,,,,
BD1 2QG,postcode not found,,,,,
BD1 2QH,postcode not found,,,,,
BD1 2QJ,postcode not found,,,,,
BD1 2QL,BD1 2QL,SE 16171 33143,416171,433143,53.794349,-1.7559976
BD1 2QQ,postcode not found,,,,,
BD1 2QR,BD1 2QR,SE 16116 33235,416116,433235,53.795178,-1.7568277
BD1 2QT,BD1 2QT,SE 16097 33202,416097,433202,53.794882,-1.7571179
BD1 2QU,BD1 2QU,SE 16042 33248,416042,433248,53.795297,-1.7579504
BD1 2QX,postcode not found,,,,,
